kind,scope,sharedUi,action,currentFile,currentClass,currentSelector,templateUrl,styleUrls,proposedBase,proposedClass,proposedSelector,confidence,notes
Component,console,,keep,apps/console/src/app/app.ts,App,console-root,,,app,App,console-root,high,app-root-OUT-OF-SCOPE
Component,console,,rename,apps/console/src/app/layout-shell.ts,LayoutShellComponent,console-layout-shell,,,layout.shell,LayoutShell,console-layout-shell,high,
Component,landing,,keep,apps/landing/src/app/app.ts,App,landing-root,apps/landing/src/app/app.html,apps/landing/src/app/app.scss,app,App,landing-root,high,app-root-OUT-OF-SCOPE
Component,landing,,rename,apps/landing/src/app/pages/colophon/colophon.page.ts,ColophonPage,landing-colophon-page,apps/landing/src/app/pages/colophon/colophon.page.html,apps/landing/src/app/pages/colophon/colophon.page.scss,colophon,Colophon,landing-colophon,med,page-dropped;page-container
Component,landing,,rename,apps/landing/src/app/pages/contact/contact.page.ts,ContactPage,landing-contact-page,apps/landing/src/app/pages/contact/contact.page.html,apps/landing/src/app/pages/contact/contact.page.scss,contact,Contact,landing-contact,med,page-dropped;page-container
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/about-signatures.page.ts,DdlAboutSignaturesPage,landing-ddl-about-signatures-page,apps/landing/src/app/pages/ddl/about-signatures/about-signatures.page.html,apps/landing/src/app/pages/ddl/about-signatures/about-signatures.page.scss,ddl-about-signatures,DdlAboutSignatures,landing-ddl-about-signatures,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/currently-shipping-v1/currently-shipping-v1.component.ts,CurrentlyShippingV1Component,landing-currently-shipping-v1,,,ddl-currently-shipping.v1,DdlCurrentlyShippingV1,landing-ddl-currently-shipping-v1,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/currently-shipping-v2/currently-shipping-v2.component.ts,CurrentlyShippingV2Component,landing-currently-shipping-v2,,,ddl-currently-shipping.v2,DdlCurrentlyShippingV2,landing-ddl-currently-shipping-v2,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/currently-shipping-v3/currently-shipping-v3.component.ts,CurrentlyShippingV3Component,landing-currently-shipping-v3,,,ddl-currently-shipping.v3,DdlCurrentlyShippingV3,landing-ddl-currently-shipping-v3,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/depth-map-v1/depth-map-v1.component.ts,DepthMapV1Component,landing-depth-map-v1,,,ddl-depth-map.v1,DdlDepthMapV1,landing-ddl-depth-map-v1,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/depth-map-v2/depth-map-v2.component.ts,DepthMapV2Component,landing-depth-map-v2,,,ddl-depth-map.v2,DdlDepthMapV2,landing-ddl-depth-map-v2,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/depth-map-v3/depth-map-v3.component.ts,DepthMapV3Component,landing-depth-map-v3,,,ddl-depth-map.v3,DdlDepthMapV3,landing-ddl-depth-map-v3,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/failures-v2/failures-v2.component.ts,FailuresV2Component,landing-failures-v2,,,ddl-failures.v2,DdlFailuresV2,landing-ddl-failures-v2,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/about-signatures/failures-v3/failures-v3.component.ts,FailuresV3Component,landing-failures-v3,,,ddl-failures.v3,DdlFailuresV3,landing-ddl-failures-v3,high,vN-variant;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/backgrounds/backgrounds.page.ts,BackgroundsPage,landing-backgrounds-page,,,ddl-backgrounds,DdlBackgrounds,landing-ddl-backgrounds,high,page-dropped;ddl-showcase
Component,landing,,rename,apps/landing/src/app/pages/ddl/bio-improvements/bio-improvements.page.ts,BioImprovementsPage,landing-bio-improvements-page,apps/landing/src/app/pages/ddl/bio-improvements/bio-improvements.page.html,apps/landing/src/app/pages/ddl/bio-improvements/bio-improvements.page.scss,ddl-bio-improvements,DdlBioImprovements,landing-ddl-bio-improvements,high,page-dropped;ddl-showcase
